id;growth;tree_height;growth_2
218A0210;2.64;10.91937315;10.17
218A0088;2.6;11.07103112;
218A0104;2.72;11.22268908;6.13
218A0285;3;10.76771519;2.1
218A0214;2.36;22.59703611;
218A0186;7.62;16.98569157;1.09
218A0277;1.64;24.26527368;3
218A0121;7.14;16.68237565;1.23
218A0079;2.02;24.72024756;2.71
218A0111;5.28;12.16296843;3.78
218A0153;6.66;13.64921644;2.05
218A0138;2.56;18.98757665;2.86
218A0077;3.36;20.01885078;1.77
218A0193;4.5;21.99040427;
218A0270;4.74;10.99520214;2.11
218A0255;3.24;20.77714059;1.89
218A0262;3.27;13.61888485;2
218A0281;4.32;14.30134567;5.9
218A0212;3.18;15.16579605;12.21
218A0248;7.14;16.68237565;
