 time;pm10;pm25
13.01.2019 22:00;16.12;8.23
13.01.2019 23:00;13.67;7.2
14.01.2019 0:00;15.12;7.58
14.01.2019 1:00;15;8.24
14.01.2019 2:00;19.01;9.81
14.01.2019 3:00;21.92;10.67
14.01.2019 4:00;25.93;12.34
14.01.2019 5:00;28.05;13.3
14.01.2019 6:00;28.3;13.77
14.01.2019 7:00;28.72;14.28
14.01.2019 8:00;28.41;14.77
14.01.2019 9:00;28.2;15.12
14.01.2019 10:00;27.4;14.57
14.01.2019 11:00;25.4;13.88
14.01.2019 12:00;22.65;12.75
14.01.2019 13:00;19.42;11.08
14.01.2019 14:00;19.79;10.88
14.01.2019 15:00;21.84;12.2
14.01.2019 16:00;23.34;12.77
14.01.2019 17:00;22.21;12.42
14.01.2019 18:00;21.12;12.16
14.01.2019 19:00;18.33;10.69
14.01.2019 20:00;14.4;8.52
14.01.2019 21:00;15.25;8.78
14.01.2019 22:00;18.11;10.09
14.01.2019 23:00;18.64;10.23
15.01.2019 0:00;25.56;13.53
15.01.2019 1:00;31.35;15.52
15.01.2019 2:00;37.98;17.29
15.01.2019 3:00;52.11;21.86
15.01.2019 4:00;45.27;20.26
15.01.2019 5:00;45.11;20.76
15.01.2019 6:00;49.19;21.86
15.01.2019 7:00;54.04;24.58
15.01.2019 8:00;45.26;22.13
15.01.2019 9:00;35.46;18.34
15.01.2019 10:00;16.17;9.8
15.01.2019 11:00;5.34;3.16
15.01.2019 12:00;4.16;1.9
15.01.2019 13:00;4.36;2.32
15.01.2019 14:00;3.28;1.97
15.01.2019 15:00;2.93;1.64
15.01.2019 16:00;3.34;1.69
15.01.2019 17:00;4.93;1.88
15.01.2019 18:00;6.24;2.2
15.01.2019 19:00;5.46;2.22
15.01.2019 20:00;4.74;2.36
15.01.2019 21:00;6.85;2.95
15.01.2019 22:00;8.14;3.28
15.01.2019 23:00;7.47;3.25
16.01.2019 0:00;6.32;3.22
16.01.2019 1:00;8.2;3.69
16.01.2019 2:00;7.42;3.59
16.01.2019 3:00;7.29;4.18
16.01.2019 4:00;10.08;4.94
16.01.2019 5:00;9.26;4.89
16.01.2019 6:00;8.05;4.61
16.01.2019 7:00;7.54;4.42
16.01.2019 8:00;9.53;5.71
16.01.2019 9:00;10.61;6.17
16.01.2019 10:00;10.78;6.56
16.01.2019 11:00;10;5.87
16.01.2019 12:00;11.92;7.06
16.01.2019 13:00;14.05;7.84
16.01.2019 14:00;17;9.23
16.01.2019 15:00;18.83;9.9
16.01.2019 16:00;14.93;8.08
16.01.2019 17:00;14.63;8.03
16.01.2019 18:00;15.73;7.82
16.01.2019 19:00;13.09;7.11
16.01.2019 20:00;11.17;6.39
16.01.2019 21:00;10.64;6.09
16.01.2019 22:00;11.73;6.85
16.01.2019 23:00;12.75;6.8
17.01.2019 0:00;11.91;6.51
17.01.2019 1:00;11.52;6.08
17.01.2019 2:00;8.14;4.46
17.01.2019 3:00;7.83;4.24
17.01.2019 4:00;5.77;3.11
17.01.2019 5:00;3.42;1.9
17.01.2019 6:00;3.84;2.17
17.01.2019 7:00;4.23;2.53
17.01.2019 8:00;4.76;2.68
17.01.2019 9:00;4.59;2.44
17.01.2019 10:00;5.07;2.68
17.01.2019 11:00;6.13;3.22
17.01.2019 12:00;6.34;3.46
17.01.2019 13:00;6.63;3.37
17.01.2019 14:00;5.86;3.15
17.01.2019 15:00;6.8;3.42
17.01.2019 16:00;7.05;4.14
17.01.2019 17:00;8.62;5.28
17.01.2019 18:00;10.94;6.86
17.01.2019 19:00;13.21;8.28
17.01.2019 20:00;14.85;8.97
17.01.2019 21:00;16.36;10.1
17.01.2019 22:00;16.38;10.21
17.01.2019 23:00;14.42;9.36
18.01.2019 0:00;13.73;9.08
18.01.2019 1:00;11.85;7.71
18.01.2019 2:00;9.59;6.29
18.01.2019 3:00;9.49;6.23
18.01.2019 4:00;11;6.83
18.01.2019 5:00;12.04;6.9
18.01.2019 6:00;11.06;6.81
18.01.2019 7:00;12.72;7.22
18.01.2019 8:00;13.39;8.05
18.01.2019 9:00;12.41;7.84
18.01.2019 10:00;12.47;7.63
18.01.2019 11:00;14.46;8.38
18.01.2019 12:00;15.17;9.41
18.01.2019 13:00;16.49;10.23
18.01.2019 14:00;18.56;11.71
18.01.2019 15:00;29.88;17.17
18.01.2019 16:00;32.06;19.04
18.01.2019 17:00;30.92;19.22
18.01.2019 18:00;26.46;17.27
18.01.2019 19:00;24.67;16.76
18.01.2019 20:00;22.49;15.2
18.01.2019 21:00;18.68;13.09
18.01.2019 22:00;7.87;4.93
18.01.2019 23:00;1.49;0.7
19.01.2019 0:00;1.51;0.81
19.01.2019 1:00;1.28;0.77
19.01.2019 2:00;1.63;0.99
19.01.2019 3:00;2.04;1.01
19.01.2019 4:00;2.42;1.31
19.01.2019 5:00;3.18;1.54
19.01.2019 6:00;5.07;2.96
19.01.2019 7:00;7.09;3.79
19.01.2019 8:00;6.11;3.26
19.01.2019 9:00;6.58;3.91
19.01.2019 10:00;6.72;3.76
19.01.2019 11:00;7.29;4.49
19.01.2019 12:00;7.24;4.3
19.01.2019 13:00;9.92;5.78
19.01.2019 14:00;8.91;5.32
19.01.2019 15:00;7.49;4.37
19.01.2019 16:00;6.89;4.32
19.01.2019 17:00;8.35;4.9
19.01.2019 18:00;8.63;5.14
19.01.2019 19:00;9.48;5.49
19.01.2019 20:00;9.4;5.15
19.01.2019 21:00;9.15;5.08
19.01.2019 22:00;9.28;5.04
19.01.2019 23:00;10.27;5.39
20.01.2019 0:00;7.68;4.02
