id;leaves_quality ;crown_density;dry branches;asimmetry);crown_codominance;wounds;cracks;cavities;fungi;trunk_inclination;curvature;trunk_codominance;pruning;trunk_rot;trunk_cavities;outgrowthing;insects;epicormic_shoots;superficial_roots;raised_roots;winding_roots;roots_damages;asphalt
0077;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;2.00;2.00;1.00
0079;3.00;3.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00
0088;1.00;1.00;1.00;1.00;2.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
0104;1.00;1.00;1.00;1.00;1.00;2.00;2.00;1.00;1.00;1.00;1.00;1.00;2.00;3.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
0111;4.00;1.00;1.00;1.00;1.00;2.00;3.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;2.00;2.00;1.00;1.00;1.00;1.00;2.00;1.00
0121;1.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;2.00;1.00;2.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
0138;2.00;2.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
0153;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
0186;3.00;3.00;2.00;2.00;1.00;2.00;2.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;2.00;2.00;2.00;2.00;1.00
0193;1.00;1.00;1.00;1.00;1.00;2.00;2.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;2.00;2.00;1.00;1.00;2.00;1.00;1.00;2.00;1.00
0210;1.00;1.00;1.00;1.00;1.00;2.00;2.00;1.00;1.00;1.00;2.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
0212;4.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;1.00;1.00;2.00;1.00;2.00;2.00;1.00
