id;Species;DBH;DTT;height;TTCloud;Site;d;age_group;VTAscore
218A0001;Acer fraxinifolium;87;84;3.49;C18A0023;School;27.6929601;6;2
218A0060;Tilia cordata;82;68;3.5;C18A0031;RUDN;26.10141067;3;1
218A0061;Acer platanoides;95;90.5;3.5;C18A0030;Timiryazev;30.23943919;6;3
218A0062;Betula pendula;80;64;3.5;C18A0028;RUDN;25.46479089;6;1
218A0063;Quercus robur;132;115;3.5;NA;Timiryazev;42.01690498;6;3
218A0064;Tilia cordata;69;48;3.4;C18A0031;RUDN;21.96338215;3;3
218A0065;Tilia cordata;168;147;3.5;NA;Timiryazev;53.47606088;6;2
218A0067;Acer fraxinifolium;113;117;3.76;C18A0023;School;35.96901714;6;3
218A0068;Larix siberica;137;127;3.9;NA;Botanical;43.60845441;5;3
218A0069;Tilia cordata;86.5;75;3.6;C18A0031;RUDN;27.53380515;4;2
218A0071;Acer platanoides;93;81;3.5;C18A0031;RUDN;29.60281942;6;3
218A0072;Quercus robur;157;146;3.6;NA;Timiryazev;49.97465213;6;2
218A0073;Tilia cordata;153;143;3.5;NA;Timiryazev;48.70141259;6;2
218A0074;Salix alba;168;157;3.5;C21870015;Scherbinka;53.47606088;4;2
218A0075;Larix siberica;180;164;3.5;NA;Timiryazev;57.29577951;6;3
218A0076;Salix alba;146;124;3.6;C21870015;Scherbinka;46.47324338;4;3
218A0077;Acer  pseudoplatanus;112;108;3.84;C18A0024;Bolotnaya;35.65070725;6;2
218A0078;Aesculus flava;133;101;3.8;C18A0030;Botanical;42.33521486;6;3
218A0079;Larix siberica;101;96;3.7;C18A0024;Bolotnaya;32.1492985;5;3
218A0080;Tilia cordata;76;54;3.5;C18A0031;RUDN;24.19155135;3;2
218A0081;Quercus robur;118;114;3.75;C18A0027;Troick;37.56056657;6;2
218A0082;Larix siberica;105;100;3.5;NA;Timiryazev;33.42253805;5;3
218A0083;Quercus robur;146;140;3.5;C18A0027;Troick;46.47324338;6;2
218A0084;Tilia cordata;63;50;3.2;C18A0031;RUDN;20.05352283;3;2
218A0085;Acer platanoides;78;62;3.7;C18A0031;RUDN;24.82817112;4;2
218A0086;Quercus robur;145;127;3.5;C18A0027;Troick;46.1549335;6;3
218A0087;Tilia cordata;129;119;3.5;NA;Timiryazev;41.06197532;6;3
218A0088;Betula pendula;65;58;3.35;C18A0024;Bolotnaya;20.6901426;4;1
218A0089;Betula pendula;108;90;4;C18A0027;Troick;34.37746771;6;2
218A0090;Tilia cordata;89;75;3.4;C18A0031;RUDN;28.32957987;4;2
218A0091;Quercus robur;134;123.5;3.9;NA;Botanical;42.65352475;6;2
218A0092;Populus nigra;211;166;3.8;C18A0023;School;67.16338598;6;3
218A0094;Juglans mandshurica;154;131;3.76;NA;Botanical;49.01972247;6;3
218A0095;Acer fraxinifolium;114;118;3.76;C18A0023;School;36.28732702;6;2
218A0096;Quercus robur;166;141;3.5;NA;Timiryazev;52.83944111;6;2
218A0097;Tilia cordata;150;138;3.76;NA;Botanical;47.74648293;6;2
218A0098;Salix alba;90;79;3.5;C21870015;Scherbinka;28.64788976;3;2
218A0099;Acer fraxinifolium;88;81;3.8;C18A0023;School;28.01126998;4;3
218A0100;Populus tremula;81;72;3.5;C18A0031;RUDN;25.78310078;3;1
218A0101;Tilia cordata;124;115;3.5;NA;Timiryazev;39.47042589;6;3
218A0102;Populus tremula;90;65;3.5;C18A0031;RUDN;28.64788976;3;1
218A0103;Populus tremula;73;66;3.5;C18A0031;RUDN;23.23662169;3;2
218A0104;Betula pendula;68;53;3.4;C18A0024;Bolotnaya;21.64507226;4;1
218A0105;Populus nigra;235;211;3.8;NA;Botanical;74.80282325;6;2
218A0106;Populus tremula;87;79;3.5;C18A0031;RUDN;27.6929601;3;2
218A0107;Picea abies;77.5;74;3.5;C18A0028;RUDN;24.66901618;5;2
218A0108;Pinus sylvestris;67;59.5;3.6;C18A0031;RUDN;21.32676237;3;2
218A0109;Populus tremula;75;69;3.5;C18A0031;RUDN;23.87324146;3;2
218A0110;Pinus sylvestris;87;72;3.5;C18A0031;RUDN;27.6929601;6;2
218A0111;Tilia cordata;88;80;4.07;C18A0024;Bolotnaya;28.01126998;4;3
218A0112;Tilia cordata;130;119;3.5;NA;Timiryazev;41.3802852;6;2
218A0113;Pinus sylvestris;110;88;3.5;C18A0031;RUDN;35.01408748;2;3
218A0114;Pinus sylvestris;84;67;3.5;C18A0031;RUDN;26.73803044;4;2
218A0115;Pinus sylvestris;95;85.5;3.5;C18A0031;RUDN;30.23943919;4;3
218A0116;Larix siberica;78.5;77;3.9;NA;Timiryazev;24.98732607;5;2
218A0117;Tilia cordata;161;146;3.45;C18A0027;Troick;51.24789168;6;2
218A0118;Pinus sylvestris;87;69;3.6;C18A0031;RUDN;27.6929601;6;3
218A0119;Picea abies;83.5;74;3.5;C18A0028;RUDN;26.5788755;6;2
218A0120;Acer platanoides;56;51;3.5;C18A0030;Timiryazev;17.82535363;3;3
218A0121;Tilia cordata;119;100;3.56;C18A0024;Bolotnaya;37.87887646;6;1
218A0122;Pinus sylvestris;95;82.5;3.64;C18A0031;RUDN;30.23943919;4;2
218A0123;Pinus sylvestris;101;97;3.5;C18A0031;RUDN;32.1492985;4;2
218A0124;Populus tremula;185;141;0.36;C18A0031;RUDN;58.88732894;6;1
218A0124;Populus tremula;185;141;0.36;C18A0031;RUDN;58.88732894;6;2
218A0125;Salix alba;137;119;3.5;C21870015;Scherbinka;43.60845441;4;3
218A0126;Tilia cordata;117;110;3.5;NA;Timiryazev;37.24225668;6;4
218A0127;Salix alba;170;138;3.8;C21870015;Scherbinka;54.11268065;4;2
218A0128;Salix alba;173;142;3.6;C21870015;Scherbinka;55.06761031;4;2
218A0129;Pinus sylvestris;73;65.5;3.6;C18A0031;RUDN;23.23662169;4;2
218A0130;Acer fraxinifolium;81;84;3.8;C18A0023;School;25.78310078;6;3
218A0131;Acer fraxinifolium;83;80;3.7;C18A0023;School;26.41972055;6;3
218A0132;Malus domestica;105;77;3.9;NA;Botanical;33.42253805;4;3
218A0135;Pinus sylvestris;87;86;3.5;C18A0031;RUDN;27.6929601;6;2
218A0136;Populus tremula;83;72;3.5;C18A0031;RUDN;26.41972055;6;2
218A0137;Populus tremula;86;82;3.5;C18A0031;RUDN;27.37465021;3;2
218A0138;Larix decidua;128;113;3.85;C18A0024;Bolotnaya;40.74366543;6;2
218A0139;Populus tremula;80;72;3.5;C18A0031;RUDN;25.46479089;3;2
218A0140;Populus tremula;65;59;3.5;C18A0031;RUDN;20.6901426;3;3
218A0141;Tilia cordata;87;67;3.5;C18A0031;RUDN;27.6929601;4;3
218A0142;Acer platanoides;84;62;3.5;C18A0031;RUDN;26.73803044;6;1
218A0143;Quercus robur;195;155;3.5;NA;Timiryazev;62.07042781;6;2
218A0144;Salix alba;117;105;3.6;C21870015;Scherbinka;37.24225668;4;3
218A0145;Larix siberica;92.5;82;3.5;NA;Timiryazev;29.44366447;5;3
218A0146;Betula pendula;97;80;3.5;C18A0028;RUDN;30.87605896;6;2
218A0147;Acer platanoides;84;68;3.5;C18A0031;RUDN;26.73803044;6;2
218A0149;Picea abies;70.5;57;3.6;C18A0028;RUDN;22.44084698;4;2
218A0150;Tilia cordata;116;103;3.5;NA;Timiryazev;36.9239468;6;3
218A0151;Tilia cordata;87;70;3.5;C18A0031;RUDN;27.6929601;4;2
218A0152;Betula pendula;110;94;3.8;C18A0027;Troick;33;6;2
218A0153;Tilia cordata;111;97;3.75;C18A0024;Bolotnaya;35.33239737;4;2
218A0154;Acer platanoides;74;70;3.5;C18A0030;Timiryazev;23.55493158;4;2
218A0155;Acer platanoides;74;55;3.5;C18A0031;RUDN;23.55493158;4;2
218A0157;Acer fraxinifolium;98;94;3.16;C18A0023;School;31.19436885;6;3
218A0158;Larix siberica;88;67;3.45;NA;Timiryazev;28.01126998;5;4
218A0160;Acer fraxinifolium;80;87;3.25;C18A0023;School;25.46479089;6;3
218A0162;Salix alba;198;151;4;C21870015;Scherbinka;63.02535746;4;2
218A0163;Larix siberica;76;76;3.7;NA;Timiryazev;24.19155135;5;3
218A0165;Betula pendula;83;74;3.5;C18A0028;RUDN;26.41972055;6;1
218A0166;Acer platanoides;163;144;3.95;C18A0030;Botanical;51.88451145;6;3
218A0168;Betula pendula;95;71;3.5;C18A0028;RUDN;30.23943919;6;1
218A0170;Quercus robur;127;111;3.6;C18A0027;Troick;40.42535555;6;2
218A0171;Acer platanoides;82;74;3.5;C18A0031;RUDN;26.10141067;6;3
218A0172;Larix siberica;108;102;3.5;NA;Timiryazev;34.37746771;5;3
218A0173;Acer platanoides;76;62;3.5;C18A0031;RUDN;24.19155135;4;2
218A0174;Salix alba;175;138;3.55;C21870015;Scherbinka;55.70423008;4;2
218A0175;Picea abies;62;52;3.5;C18A0028;RUDN;19.73521294;4;2
