# Метеостанция Остафьево (аэропорт), Россия, METAR=UUMO, выборка с 01.05.2019 по 09.09.2019, все дни
# Кодировка: Unicode
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUMO&lang=ru
#
"Местное время в Остафьево (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"09.09.2019 23:30";"12.0";"754.7";"770.4";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 23:00";"12.0";"754.7";"770.4";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 22:30";"13.0";"754.7";"770.4";"94";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 22:00";"13.0";"754.7";"770.4";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"09.09.2019 21:30";"14.0";"754.8";"770.4";"94";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"09.09.2019 21:00";"15.0";"754.9";"770.4";"82";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 20:30";"15.0";"754.9";"770.4";"88";"Ветер, дующий с северо-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"09.09.2019 20:00";"15.0";"754.9";"770.4";"68";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"09.09.2019 19:30";"17.0";"755.0";"770.4";"77";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"09.09.2019 19:00";"19.0";"755.1";"770.4";"68";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"09.09.2019 18:30";"20.0";"755.1";"770.4";"60";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 18:00";"21.0";"755.2";"770.4";"53";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"09.09.2019 17:00";"22.0";"755.2";"770.4";"50";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"09.09.2019 16:30";"23.0";"755.3";"770.4";"50";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 16:00";"23.0";"755.3";"770.4";"47";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"09.09.2019 15:30";"23.0";"755.3";"770.4";"50";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 15:00";"24.0";"756.0";"771.1";"44";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"09.09.2019 14:30";"23.0";"756.0";"771.1";"44";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"09.09.2019 14:00";"23.0";"756.0";"771.1";"47";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"09.09.2019 13:30";"23.0";"756.0";"771.1";"50";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 13:00";"23.0";"756.0";"771.1";"47";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"11.0";
"09.09.2019 12:30";"22.0";"755.9";"771.1";"50";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"11.0";
"09.09.2019 12:00";"22.0";"755.9";"771.1";"53";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 11:30";"22.0";"755.9";"771.1";"53";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 11:00";"21.0";"755.9";"771.1";"64";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"09.09.2019 10:30";"21.0";"755.9";"771.1";"64";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"09.09.2019 10:00";"20.0";"756.6";"771.9";"73";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"09.09.2019 09:30";"19.0";"756.5";"771.9";"73";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"09.09.2019 09:00";"17.0";"756.4";"771.9";"83";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"09.09.2019 08:30";"16.0";"756.4";"771.9";"88";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"09.09.2019 08:00";"14.0";"756.3";"771.9";"94";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"9.0";"13.0";
"09.09.2019 07:30";"12.0";"756.2";"771.9";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 07:00";"10.0";"756.0";"771.9";"100";"Ветер, дующий с запада";"1";"";"";"";"Нет существенной облачности";"7.0";"10.0";
"09.09.2019 06:30";"9.0";"756.0";"771.9";"100";"Ветер, дующий с запада";"1";"";"Поземный туман, дымка";"";"Нет существенной облачности";"2.1";"9.0";
"09.09.2019 06:00";"9.0";"756.0";"771.9";"100";"Ветер, дующий с запада";"2";"";"Поземный туман, дымка";"";"Нет существенной облачности";"2.2";"9.0";
"09.09.2019 05:30";"9.0";"756.0";"771.9";"100";"Штиль, безветрие";"0";"";"Поземный туман, дымка";"";"Нет существенной облачности";"2.0";"9.0";
"09.09.2019 01:30";"12.0";"756.2";"771.9";"100";"Штиль, безветрие";"0";"";"Поземный туман, дымка";"";"Нет существенной облачности";"5.0";"12.0";
"09.09.2019 01:00";"12.0";"756.2";"771.9";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 00:30";"12.0";"756.2";"771.9";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"09.09.2019 00:00";"12.0";"756.2";"771.9";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"08.09.2019 23:30";"13.0";"755.4";"771.1";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"08.09.2019 23:00";"13.0";"755.4";"771.1";"100";"Ветер, дующий с запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"08.09.2019 22:00";"14.0";"755.5";"771.1";"100";"Ветер, дующий с запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"08.09.2019 21:00";"14.0";"755.5";"771.1";"82";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"8.0";"11.0";
"08.09.2019 20:30";"15.0";"755.5";"771.1";"72";"Ветер, дующий с северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"08.09.2019 20:00";"16.0";"755.6";"771.1";"72";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"08.09.2019 19:30";"16.0";"755.6";"771.1";"72";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"08.09.2019 19:00";"18.0";"755.7";"771.1";"73";"Ветер, дующий с севера";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"08.09.2019 18:30";"21.0";"755.9";"771.1";"64";"Ветер, дующий с востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"08.09.2019 18:00";"21.0";"755.9";"771.1";"60";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"08.09.2019 17:30";"21.0";"755.9";"771.1";"57";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"12.0";
"08.09.2019 17:00";"23.0";"756.0";"771.1";"50";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"12.0";
"08.09.2019 16:30";"23.0";"755.3";"770.4";"47";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"11.0";
"08.09.2019 16:00";"22.0";"755.9";"771.1";"53";"Ветер, дующий с севера";"3";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"12.0";
"08.09.2019 15:30";"22.0";"755.9";"771.1";"53";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"12.0";
"08.09.2019 15:00";"24.0";"756.0";"771.1";"44";"Ветер, дующий с юга";"2";"";"";"";"Рассеянная (40-50%) 1290 м";"10.0 и более";"11.0";
"08.09.2019 14:30";"23.0";"756.0";"771.1";"50";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 1290 м";"10.0 и более";"12.0";
"08.09.2019 14:00";"23.0";"756.0";"771.1";"50";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Рассеянная (40-50%) 1290 м";"10.0 и более";"12.0";
