Serial;Ratio of rotten part in core, %;state
218A0113;0;good
218A0118;0;good
218A0122;0;good
218A0108;0;good
218A0115;0;good
218A0123;0;good
218A0114;0;good
218A0135;10;good
218A0110;0;good
218A0140;10;good
218A0109;10;good
218A0106;20;good
218A0136;0;good
218A0139;35;good
218A0103;40;cavity 
218A0137;0;good
218A0102;70;good
218A0124;15;good
218A0100;25;good
218A0142;30;good
218A0147;35;good
218A0071;25;good
218A0280;20;pith cavity
218A0085;15;good
218A0173;60;good
218A0155;20;good
218A0171;5;pith cavity
218A0141;0;good
218A0151;0;good
218A0224;15;good
218A0080;5;good
218A0266;5;good
218A0069;0;good
218A0060;0;good
218A0090;0;good
218A0084;5;good
218A0064;75;colored
218A0220;0;good
218A0107;0;good
218A0245;0;good
218A0198;5;good
218A0175;5;good
218A0119;0;good
218A0149;0;good
218A0206;5;good
218A0238;0;good
218A0192;0;good
218A0168;20;colored
218A0146;2;good
218A0240;5;good
218A0221;25;cavity 
218A0062;2;good
218A0165;20;good
218A0230;5;good
218A0188;15;cavity 
218A0233;5;good
218A0283;0;good
