"","Site","SiteIndex","Species","age_group_index","antrop_load","in_site_antrop_load","id","d","DBH","DTT","installation_height","VTA_score"
"1","TROITSK","MS-4","Betula pendula","VI","Medium","High","218A0089",34.3774677078494,108,90,4,2
"2","TROITSK","MS-4","Betula pendula","VI","Medium","High","218A0152",35.014087480217,110,94,3.8,2
"3","TROITSK","MS-4","Betula pendula","VI","Medium","High","218A0243",32.7859182769304,103,86,3.65,3
"4","TROITSK","MS-4","Betula pendula","VI","Medium","High","218A0244",48.0647928137524,151,111,3.66,3
"5","TROITSK","MS-4","Betula pendula","VI","Medium","High","218A0284",36.2873270249521,114,95,3.42,3
"6","TROITSK","MS-4","Picea abies","V","Medium","High","218A0261",40.4253555453414,127,103,3.5,3
"7","TROITSK","MS-4","Picea abies","V","Medium","High","218A0286",44.5633840657307,140,120,3.6,3
"8","TROITSK","MS-4","Picea abies","VI","Medium","High","218A0199",46.7915532690172,147,138,3.5,3
"9","TROITSK","MS-4","Picea abies","VI","Medium","High","218A0295",43.9267642933631,138,116,3.5,3
"10","TROITSK","MS-4","Quercus robur","VI","Medium","High","218A0081",37.5605665696873,118,114,3.75,2
"11","TROITSK","MS-4","Quercus robur","VI","Medium","High","218A0083",46.4732433828334,146,140,3.5,2
"12","TROITSK","MS-4","Quercus robur","VI","Medium","High","218A0086",46.1549334966496,145,127,3.5,3
"13","TROITSK","MS-4","Quercus robur","VI","Medium","High","218A0170",40.4253555453414,127,111,3.6,2
"14","TROITSK","MS-4","Quercus robur","VI","Medium","High","218A0179",46.1549334966496,145,131,3.6,3
"15","TROITSK","MS-4","Quercus robur","VI","Medium","High","218A0296",37.5605665696873,118,114,3.5,2
"16","TROITSK","MS-4","Tilia cordata","IV","Medium","High","218A0236",32.7859182769304,103,96,3.8,2
"17","TROITSK","MS-4","Tilia cordata","IV","Medium","High","218A0237",31.1943688460115,98,89,3.55,4
"18","TROITSK","MS-4","Tilia cordata","VI","Medium","High","218A0117",51.2478916755903,161,146,3.45,2
"19","TROITSK","MS-4","Tilia cordata","VI","Medium","High","218A0292",38.8338061144225,122,121,3,3
"20","SCHERBINKA","MS-5","Salix alba","III","High","High","218A0098",28.6478897565412,90,79,3.5,2
"21","SCHERBINKA","MS-5","Salix alba","III","High","High","218A0189",28.0112699841736,88,78,3.47,2
"22","SCHERBINKA","MS-5","Salix alba","III","High","High","218A0227",35.014087480217,110,118,3.5,2
"23","SCHERBINKA","MS-5","Salix alba","III","High","High","218A0242",33.1042281631142,104,93,3.5,2
"24","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0074",53.4760608788768,168,157,3.5,2
"25","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0076",46.4732433828334,146,124,3.6,3
"26","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0125",43.6084544071793,137,119,3.5,3
"27","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0127",54.1126806512444,170,138,3.8,2
"28","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0128",55.0676103097958,173,142,3.6,2
"29","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0144",37.2422566835035,117,105,3.6,3
"30","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0162",63.0253574643906,198,151,4,2
"31","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0174",55.7042300821634,175,138,3.55,2
"32","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0184",44.8816939519145,141,125,3.5,2
"33","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0194",42.653524748628,134,131,3.5,2
"34","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0200",38.1971863420549,120,103,3.6,2
"35","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0216",49.9746521308551,157,139,3.57,2
"36","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0267",37.2422566835035,117,93,3.5,3
"37","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0274",61.7521179196554,194,106,3.5,2
"38","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0290",38.8338061144225,122,98,3.45,2
"39","SCHERBINKA","MS-5","Salix alba","IV","High","High","218A0299",45.2000038380983,142,126,3.5,2
"40","BOLOTNAYA","MS-6","Acer platanoides","VI","High","High","218A0262",34.6957775940332,109,106,3.35,1
"41","BOLOTNAYA","MS-6","Acer platanoides","VI","High","High","218A0281",45.8366236104659,144,107,3.22,4
"42","BOLOTNAYA","MS-6","Acer platanoides","VI","High","Low","218A0077",35.6507072525846,112,108,3.84,2
"43","BOLOTNAYA","MS-6","Acer platanoides","VI","High","Low","218A0193",47.7464829275686,150,151,3.66,1
"44","BOLOTNAYA","MS-6","Acer platanoides","VI","High","Low","218A0212",33.7408479354818,106,105,3.4,3
"45","BOLOTNAYA","MS-6","Acer platanoides","VI","High","Low","218A0255",34.3774677078494,108,102,3.76,2
"46","BOLOTNAYA","MS-6","Betula pendula","IV","High","Low","218A0088",20.6901426019464,65,58,3.35,1
"47","BOLOTNAYA","MS-6","Betula pendula","IV","High","Low","218A0104",21.6450722604978,68,53,3.4,1
