id;device;profile;timestamp_utc;Amplitude;Frequency;Angle;
25161390;586;4;2020-09-20 23:50:24.24;;0;3;
25161375;586;4;2020-09-20 23:50:16.16;0;;;
25160525;2653;4;2020-09-20 23:37:02.02;;0;13;
25160517;2653;4;2020-09-20 23:36:56.56;0;;;
25160162;587;4;2020-09-20 23:32:28.28;;0;1;
25160087;2658;4;2020-09-20 23:31:49.49;;0;4;
25160079;2658;4;2020-09-20 23:31:45.45;0;;;
25159581;2656;4;2020-09-20 23:24:07.07;;0;5;
25159569;2656;4;2020-09-20 23:24:01.01;0;;;
25159421;2652;4;2020-09-20 23:21:58.58;0;;;
25159378;2659;4;2020-09-20 23:21:24.24;;0;12;
25159371;2659;4;2020-09-20 23:21:16.16;0;;;
25159272;2652;4;2020-09-20 23:19:33.33;0;;;
25158804;2652;4;2020-09-20 23:12:33.33;;0;10;
25158800;2652;4;2020-09-20 23:12:24.24;0;;;
25158493;2654;4;2020-09-20 23:07:41.41;;0;6;
25158488;2654;4;2020-09-20 23:07:35.35;0;;;
25157686;2653;4;2020-09-20 22:55:40.40;;0;13;
25157277;586;4;2020-09-20 22:50:09.09;;0;3;
25157275;586;4;2020-09-20 22:50:03.03;0;;;
25156537;2653;4;2020-09-20 22:37:59.59;;0;13;
25156535;2653;4;2020-09-20 22:37:52.52;0;;;
25156200;587;4;2020-09-20 22:33:21.21;;0;1;
25156199;587;4;2020-09-20 22:33:20.20;0;;;
25156090;587;4;2020-09-20 22:31:56.56;;0;1;
25156006;2658;4;2020-09-20 22:30:50.50;;0;4;
25156004;2658;4;2020-09-20 22:30:43.43;0;;;
25155820;2656;4;2020-09-20 22:27:35.35;0;;;
25155666;2656;4;2020-09-20 22:25:03.03;;0;5;
25155657;2656;4;2020-09-20 22:24:58.58;0;;;
25155493;2659;4;2020-09-20 22:22:58.58;;0;12;
25155487;2659;4;2020-09-20 22:22:53.53;0;;;
25155271;2652;4;2020-09-20 22:19:31.31;;0;10;
25154752;2652;4;2020-09-20 22:12:02.02;0;;;
25154600;2657;4;2020-09-20 22:09:47.47;;0;1;
25154594;2657;4;2020-09-20 22:09:42.42;0;;;
25153264;586;4;2020-09-20 21:49:53.53;;0;3;
25153259;586;4;2020-09-20 21:49:46.46;0;;;
25152554;2653;4;2020-09-20 21:38:58.58;;0;13;
25152548;2653;4;2020-09-20 21:38:53.53;0;;;
25152023;587;4;2020-09-20 21:31:26.26;;0;1;
25152013;587;4;2020-09-20 21:31:20.20;0;;;
25151914;2658;4;2020-09-20 21:29:50.50;;0;4;
25151907;2658;4;2020-09-20 21:29:43.43;0;;;
25151692;2656;4;2020-09-20 21:26:00.00;;0;5;
25151684;2656;4;2020-09-20 21:25:53.53;0;;;
25151600;2659;4;2020-09-20 21:24:35.35;;0;12;
25151584;2659;4;2020-09-20 21:24:29.29;0;;;
25151135;2652;4;2020-09-20 21:17:41.41;;0;10;
25151100;2652;4;2020-09-20 21:16:56.56;0;;;
25151001;2654;4;2020-09-20 21:15:35.35;0;;;
25150700;2652;4;2020-09-20 21:11:43.43;;0;10;
25150690;2652;4;2020-09-20 21:11:37.37;0;;;
25150632;2654;4;2020-09-20 21:10:46.46;0;;;
25150576;2657;4;2020-09-20 21:09:50.50;;0;1;
25150570;2657;4;2020-09-20 21:09:46.46;0;;;
25149217;586;4;2020-09-20 20:49:40.40;;0;3;
25149210;586;4;2020-09-20 20:49:32.32;0;;;
25149115;2653;4;2020-09-20 20:47:40.40;;0;13;
25148942;2653;4;2020-09-20 20:45:01.01;0;;;
25148563;2653;4;2020-09-20 20:39:59.59;;0;13;
25148559;2653;4;2020-09-20 20:39:53.53;0;;;
25147900;587;4;2020-09-20 20:30:46.46;0;;;
25147783;2658;4;2020-09-20 20:28:50.50;;0;4;
25147778;2658;4;2020-09-20 20:28:43.43;0;;;
25147665;2656;4;2020-09-20 20:26:56.56;;0;5;
25147656;2656;4;2020-09-20 20:26:50.50;0;;;
25147619;2659;4;2020-09-20 20:26:10.10;;0;12;
25147612;2659;4;2020-09-20 20:26:04.04;0;;;
25146870;2652;4;2020-09-20 20:14:54.54;;0;10;
25146834;2652;4;2020-09-20 20:14:22.22;0;;;
25146727;2652;4;2020-09-20 20:13:17.17;0;;;
25146675;2654;4;2020-09-20 20:12:22.22;0;;;
25146587;2652;4;2020-09-20 20:11:19.19;;0;10;
25146576;2652;4;2020-09-20 20:11:11.11;0;;;
25146525;2657;4;2020-09-20 20:10:30.30;;0;1;
