дата время местн.DT Твозд. Точка_росы Твозд.макс_3ч Твозд.мин_3ч Твозд.макс_12ч Твозд.мин_12ч Твозд.ср_сутки Отн.влажность Давление Давление_ур.моря Хар.бар.тенденции Знач.бар.тенденции Cр.ск.1 Cр.напр.1 Порыв1 Макс.скорость_3ч1 Мгн.скорость1 Мгн.направление1 Cр.ск.2 Cр.напр.2 Порыв_2 Макс.скорость_3ч2 Мгн.скорость2 Мгн.направление2 Tпов. Тузл.кущ. Tпов.макс_12ч Tпов.мин_12ч Осадки_10мин Осадки_1ч Осадки_3ч Осадки_6ч Осадки_12ч Осадки_24ч Осадки_Инт. Осадки_Макс.инт.10мин Осадки_Макс.инт.1ч Осадки_Мин.инт.1ч МЭД Tпов.макс_3ч Tпов.мин_3ч Упруг.вод.пара(e) 
26.11.2019 00:00:05 26.11.2019_03:00:05 -04.99 -15.39 -03.51 -05.00 -01.83 -05.00 -04.01 043 1003.50 1028.41 7 -0.90 02.29 233 06.08 06.68 01.58 251 ///// /// ///// ///// ///// /// -02.69 -08.57 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.858178 
26.11.2019 00:01:05 26.11.2019_03:01:05 -05.00 -15.37 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.49 1028.40 7 -0.90 02.32 233 06.08 06.68 01.01 235 ///// /// ///// ///// ///// /// -02.69 -08.58 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.860560 
26.11.2019 00:02:05 26.11.2019_03:02:05 -05.02 -15.36 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.48 1028.39 7 -0.90 02.25 233 06.08 06.68 03.10 214 ///// /// ///// ///// ///// /// -02.69 -08.59 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.862197 
26.11.2019 00:03:05 26.11.2019_03:03:05 -05.05 -15.36 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.47 1028.39 7 -0.90 02.38 233 06.08 06.68 02.48 220 ///// /// ///// ///// ///// /// -02.70 -08.61 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.863214 
26.11.2019 00:04:05 26.11.2019_03:04:05 -05.06 -15.35 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.46 1028.38 7 -0.90 02.28 234 06.08 06.68 01.47 215 ///// /// ///// ///// ///// /// -02.70 -08.63 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.863841 
26.11.2019 00:05:05 26.11.2019_03:05:05 -05.08 -15.35 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.45 1028.37 7 -1.00 02.26 234 06.08 06.68 00.95 219 ///// /// ///// ///// ///// /// -02.70 -08.64 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.864673 
26.11.2019 00:06:05 26.11.2019_03:06:05 -05.09 -15.34 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.44 1028.36 7 -1.00 02.12 234 06.08 06.68 01.49 226 ///// /// ///// ///// ///// /// -02.70 -08.65 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.866137 
26.11.2019 00:07:05 26.11.2019_03:07:05 -05.10 -15.33 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.43 1028.35 7 -1.00 02.19 234 06.08 06.68 02.38 226 ///// /// ///// ///// ///// /// -02.71 -08.66 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.866488 
26.11.2019 00:08:05 26.11.2019_03:08:05 -05.12 -15.32 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.42 1028.34 7 -1.00 02.04 233 05.34 06.68 02.10 233 ///// /// ///// ///// ///// /// -02.71 -08.67 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.868500 
26.11.2019 00:09:05 26.11.2019_03:09:05 -05.13 -15.31 -03.51 -05.00 -01.83 -05.00 -04.01 044 1003.41 1028.33 7 -1.00 02.03 232 05.34 06.68 02.50 220 ///// /// ///// ///// ///// /// -02.71 -08.69 -01.33 -02.69 0000.00 0000.00 0000.00 0000.00 0000.00 0000.00 00.00 00.00 00.00 00.00 ////// -02.38 -02.69 1.869780 
