id;ds;de;;;;
218A0113;27;23;;;;
218A0118;31;25;;;;
218A0122;26;24;;;;
218A0129;34;;;;;
218A0108;25;25;;;;
218A0115;30;30;;;;
218A0123;25;22;;;;
218A0114;29;29;;;;
218A0135;40;;;;;
218A0110;39;35;;;;
218A0140;38;35;;;;
218A0109;38;36;;;;
218A0106;38;36;;;;
218A0136;35;34;;;;
218A0139;37;38;;;;
218A0103;35;32;;;;
218A0137;27;25;;;;
218A0102;30;29;;;;
218A0124;38;35;;;;
218A0100;33;33;;;;
218A0268;;;;;;
218A0142;30.79;35;;;;
218A0147;33.3;29;;;;
218A0071;48.72;39;;;;
218A0280;42.27;32;;;;
218A0178;41.1;38;;;;
218A0085;35.3;37.5;;;;
218A0173;37.51;36;;;;
218A0155;39;34;;;;
218A0171;39.95;37.5;;;;
218A0141;32;29.5;;;;
218A0151;37;30.5;;;;
218A0224;41.5;34;;;;
218A0080;45;36;;;;
218A0226;46;43;;;;
218A0069;38;31;;;;
218A0060;46;42;;;;
218A0090;44.5;41;;;;
218A0084;39;34;;;;
218A0064;37.5;31;;;;
218A0220;32.8;30.5;;;;
218A0107;34;28.5;;;;
218A0245;35.18;33;;;;
218A0198;36;33;;;;
218A0175;35.36;31;;;;
218A0119;34;33.5;;;;
218A0149;32;31;;;;
218A0206;36.59;27.5;;;;
218A0238;30.86;30;;;;
218A0192;31;27.5;;;;
218A0168;23.89;22.5;;;;
218A0146;33;29;;;;
218A0240;38.82;39.5;;;;
218A0221;36;33.5;;;;
218A0062;38.58;31;;;;
218A0165;35.78;34.75;;;;
218A0230;33;28.5;;;;
218A0188;35.04;34.5;;;;
218A0233;33.22;31.5;;;;
218A0283;36.72;35;;;;
