№;Участок;Вид ;Класс возраста;Уровень антропогенной нагрузки на уровне участка;Уровень антропогенной нагрузки на уровне дерева;Иденткификатор устройства;Диаметр ствола,см;Обхват ствола на высоте 1,3м , см;Обхват ствола на высоте установки, см;Высота установки, м;Категория состояни дерева
1;OL-1;Acer platanoides;IV;Средний;высокий;218A0085;24.828;78;62;3.7;2
2;OL-1;Acer platanoides;IV;Средний;высокий;218A0155;23.555;74;55;3.5;2
3;OL-1;Acer platanoides;IV;Средний;высокий;218A0173;24.192;76;62;3.5;2
4;OL-1;Acer platanoides;IV;Средний;высокий;218A0268;19.099;60;60;3.5;2
5;OL-1;Acer platanoides;IV;Средний;высокий;218A0280;22.282;70;53;3.5;2
6;OL-1;Acer platanoides;VI;Средний;высокий;218A0071;29.603;93;81;3.5;3
7;OL-1;Acer platanoides;VI;Средний;высокий;218A0142;26.738;84;62;3.5;1
8;OL-1;Acer platanoides;VI;Средний;высокий;218A0147;26.738;84;68;3.5;2
9;OL-1;Acer platanoides;VI;Средний;высокий;218A0178;26.101;82;67;3.4;1
10;OL-1;Acer platanoides;VI;Средний;низкий;218A0171;26.101;82;74;3.5;3
11;OL-1;Betula pendula;IV;Средний;низкий;218A0221;21.963;69;66;3.5;2
12;OL-1;Betula pendula;VI;Средний;низкий;218A0062;25.465;80;64;3.5;1
13;OL-1;Betula pendula;VI;Средний;низкий;218A0146;30.876;97;80;3.5;2
14;OL-1;Betula pendula;VI;Средний;низкий;218A0168;30.239;95;71;3.5;1
15;OL-1;Betula pendula;VI;Средний;низкий;218A0230;26.738;84;69;3.5;1
16;OL-1;Betula pendula;VI;Средний;низкий;218A0233;28.648;90;65;3.5;1
17;OL-1;Betula pendula;VI;Средний;низкий;218A0240;33.741;106;83;3.5;1
18;OL-1;Betula pendula;VI;Средний;низкий;218A0283;24.510;77;64;3.7;1
19;OL-1;Picea abies;IV;Средний;низкий;218A0149;22.441;70.5;57;3.6;2
20;OL-1;Picea abies;IV;Средний;низкий;218A0175;19.735;62;52;3.5;2
21;OL-1;Picea abies;IV;Средний;низкий;218A0238;23.873;75;72;3.5;2
22;OL-1;Picea abies;IV;Средний;низкий;218A0245;20.372;64;54.5;3.5;2
23;OL-1;Picea abies;V;Средний;низкий;218A0107;24.669;77.5;74;3.5;2
24;OL-1;Picea abies;V;Средний;низкий;218A0192;24.510;77;70;3.5;1
25;OL-1;Picea abies;VI;Средний;низкий;218A0119;26.579;83.5;74;3.5;2
26;OL-1;Picea abies;VI;Средний;низкий;218A0198;26.420;83;75;3.5;2
27;OL-1;Pinus sylvestris;III;Средний;низкий;218A0108;21.327;67;59.5;3.6;2
28;OL-1;Pinus sylvestris;IV;Средний;низкий;218A0114;26.738;84;67;3.5;2
29;OL-1;Pinus sylvestris;IV;Средний;низкий;218A0115;30.239;95;85.5;3.5;3
30;OL-1;Pinus sylvestris;IV;Средний;низкий;218A0122;30.239;95;82.5;3.64;2
31;OL-1;Pinus sylvestris;IV;Средний;низкий;218A0123;32.149;101;97;3.5;2
32;OL-1;Pinus sylvestris;IV;Средний;низкий;218A0129;23.237;73;65.5;3.6;2
33;OL-1;Pinus sylvestris;VI;Средний;низкий;218A0110;27.693;87;72;3.5;2
34;OL-1;Pinus sylvestris;VI;Средний;низкий;218A0118;27.693;87;69;3.6;3
35;OL-1;Pinus sylvestris;VI;Средний;низкий;218A0135;27.693;87;86;3.5;2
36;OL-1;Populus tremula;III;Средний;высокий;218A0106;27.693;87;79;3.5;2
37;OL-1;Populus tremula;III;Средний;высокий;218A0109;23.873;75;69;3.5;2
38;OL-1;Populus tremula;III;Средний;высокий;218A0139;25.465;80;72;3.5;2
39;OL-1;Populus tremula;III;Средний;низкий;218A0100;25.783;81;72;3.5;1
40;OL-1;Populus tremula;III;Средний;низкий;218A0102;28.648;90;65;3.5;1
41;OL-1;Populus tremula;III;Средний;низкий;218A0137;27.375;86;82;3.5;2
42;OL-1;Populus tremula;VI;Средний;низкий;218A0124;58.887;185;141;0.36;1.5
43;OL-1;Tilia cordata;III;Средний;высокий;218A0060;26.101;82;68;3.5;1
44;OL-1;Tilia cordata;III;Средний;высокий;218A0064;21.963;69;48;3.4;3
45;OL-1;Tilia cordata;III;Средний;высокий;218A0080;24.192;76;54;3.5;2
46;OL-1;Tilia cordata;III;Средний;высокий;218A0084;20.054;63;50;3.2;2
47;OL-1;Tilia cordata;IV;Средний;высокий;218A0069;27.534;86.5;75;3.6;2
48;OL-1;Tilia cordata;IV;Средний;высокий;218A0090;28.330;89;75;3.4;2
49;OL-1;Tilia cordata;IV;Средний;высокий;218A0224;29.444;92.5;64;3.7;1
50;OL-1;Tilia cordata;IV;Средний;низкий;218A0141;27.693;87;67;3.5;3
51;OL-1;Tilia cordata;IV;Средний;низкий;218A0151;27.693;87;70;3.5;2
52;OL-2;Acer platanoides;III;Слабый;высокий;218A0250;16.552;52;48;3.5;3
53;OL-2;Acer platanoides;III;Слабый;низкий;218A0120;17.825;56;51;3.5;3
54;OL-2;Acer platanoides;III;Слабый;низкий;218A0249;18.780;59;52;3.5;2
55;OL-2;Acer platanoides;IV;Слабый;низкий;218A0219;20.690;65;60;3.5;3
56;OL-2;Acer platanoides;VI;Слабый;высокий;218A0217;26.738;84;77;3.5;3
57;OL-2;Acer platanoides;VI;Слабый;низкий;218A0061;30.239;95;90.5;3.5;3
58;OL-2;Acer platanoides;VI;Слабый;низкий;218A0287;29.603;93;80;3.5;2
59;OL-2;Larix sibirica;V;Слабый;высокий;218A0082;33.423;105;100;3.5;3
60;OL-2;Larix sibirica;V;Слабый;высокий;218A0116;24.987;78.5;77;3.9;2
61;OL-2;Larix sibirica;V;Слабый;высокий;218A0181;51.248;161;153;3.5;3
62;OL-2;Larix sibirica;V;Слабый;высокий;218A0258;35.492;111.5;102;3.5;3
63;OL-2;Larix sibirica;V;Слабый;низкий;218A0145;29.444;92.5;82;3.5;3
64;OL-2;Larix sibirica;V;Слабый;низкий;218A0158;28.011;88;67;3.45;4
65;OL-2;Larix sibirica;V;Слабый;низкий;218A0163;24.192;76;76;3.7;3
66;OL-2;Larix sibirica;V;Слабый;низкий;218A0172;34.377;108;102;3.5;3
67;OL-2;Larix sibirica;V;Слабый;низкий;218A0183;28.966;91;89;3.5;3
68;OL-2;Larix sibirica;V;Слабый;низкий;218A0203;28.011;88;84;3.5;2
69;OL-2;Larix sibirica;V;Слабый;низкий;218A0208;32.786;103;97;3.5;2
70;OL-2;Larix sibirica;V;Слабый;низкий;218A0282;29.921;94;88;3.4;3
71;OL-2;Larix sibirica;VI;Слабый;высокий;218A0075;57.296;180;164;3.5;3
72;OL-2;Larix sibirica;VI;Слабый;высокий;218A0185;58.887;185;141;0.36;3
73;OL-2;Larix sibirica;VI;Слабый;высокий;218A0247;56.977;179;171;3.5;3
74;OL-2;Larix sibirica;VI;Слабый;высокий;218A0264;57.614;181;153.5;3.5;3
75;OL-2;Quercus robur;VI;Слабый;высокий;218A0143;62.070;195;155;3.5;2
76;OL-2;Quercus robur;VI;Слабый;высокий;218A0253;51.566;162;141;3.5;3
77;OL-2;Quercus robur;VI;Слабый;высокий;218A0275;55.386;174;157;3.5;2
78;OL-2;Quercus robur;VI;Слабый;низкий;218A0063;42.017;132;115;3.5;3
79;OL-2;Quercus robur;VI;Слабый;низкий;218A0096;52.839;166;141;3.5;2
80;OL-2;Quercus robur;VI;Слабый;низкий;218A0195;54.749;172;112;3.5;3
81;OL-2;Quercus robur;VI;Слабый;низкий;218A0218;34.377;108;96.5;3.9;3
82;OL-2;Quercus robur;VI;Слабый;низкий;218A0226;38.675;121.5;116;3.5;4
83;OL-2;Quercus robur;VI;Слабый;низкий;218A0259;42.017;132;121;3.5;3
84;OL-2;Quercus robur;VI;Слабый;низкий;218A0263;38.834;122;110.5;3.5;2
85;OL-2;Quercus robur;VI;Слабый;низкий;218A0291;39.152;123;115;3.5;2
86;OL-2;Tilia cordata;IV;Слабый;высокий;218A0257;27.693;87;79;3.5;2
87;OL-2;Tilia cordata;IV;Слабый;высокий;218A0298;28.170;88.5;83;3.5;2
88;OL-2;Tilia cordata;VI;Слабый;высокий;218A0065;53.476;168;147;3.5;2
89;OL-2;Tilia cordata;VI;Слабый;высокий;218A0073;48.701;153;143;3.5;2
90;OL-2;Tilia cordata;VI;Слабый;высокий;218A0101;39.470;124;115;3.5;3
91;OL-2;Tilia cordata;VI;Слабый;высокий;218A0126;37.242;117;110;3.5;4
92;OL-2;Tilia cordata;VI;Слабый;высокий;218A0150;36.924;116;103;3.5;3
93;OL-2;Tilia cordata;VI;Слабый;высокий;218A0177;45.200;142;128;3.6;2
94;OL-2;Tilia cordata;VI;Слабый;низкий;218A0087;41.062;129;119;3.5;3
95;OL-2;Tilia cordata;VI;Слабый;низкий;218A0112;41.380;130;119;3.5;2
96;OL-2;Tilia cordata;VI;Слабый;низкий;218A0176;35.332;111;104;3.5;3
97;OL-2;Tilia cordata;VI;Слабый;низкий;218A0209;36.924;116;107;3.5;2
98;OL-2;Tilia cordata;VI;Слабый;низкий;218A0246;39.789;125;116;3.5;2
99;OL-2;Tilia cordata;VI;Слабый;низкий;218A0256;32.468;102;94;3.5;2
100;OL-2;Tilia cordata;VI;Слабый;низкий;218A0279;41.380;130;118;3.6;2
101;OL-2;Tilia cordata;VI;Слабый;низкий;218A0289;46.155;145;133;3.6;3
102;OL-3;Acer platanoides;VI;Средний;высокий;218A0166;51.885;163;144;3.95;3
103;OL-3;Aesculus flava;VI;Средний;высокий;218A0078;42.335;133;101;3.8;3
104;OL-3;Carpinus betulus;IV;Средний;высокий;218A0294;35.969;113;111;3.55;2
105;OL-3;Fraxinus excelsior;VI;Средний;высокий;218A0271;53.158;167;145;3.23;3
106;OL-3;Fraxinus ornus;VI;Средний;высокий;218A0265;35.014;110;100;3.89;2
107;OL-3;Juglans mandshurica;VI;Средний;высокий;218A0094;49.020;154;131;3.76;3
108;OL-3;Junglas cinerea;VI;Средний;высокий;218A0272;44.563;140;131;3.9;2
109;OL-3;Larix sibirica;V;Средний;высокий;218A0068;43.608;137;127;3.9;3
110;OL-3;Malus domestica;IV;Средний;высокий;218A0132;33.423;105;77;3.9;3
111;OL-3;Populus nigra;VI;Средний;высокий;218A0105;74.803;235;211;3.8;2
112;OL-3;Prunus avium;VI;Средний;высокий;218A0278;36.287;114;94;3.7;2
113;OL-3;Pyrus communis;VI;Средний;высокий;218A0241;30.558;96;80;3.65;2
114;OL-3;Quercus robur;VI;Средний;высокий;218A0091;42.654;134;123.5;3.9;2
115;OL-3;Quercus rubra;VI;Средний;высокий;218A0197;67.482;212;160;4.5;3
116;OL-3;Robinia pseudoacacia;IV;Средний;высокий;218A0225;38.197;120;108;3.7;2
117;OL-3;Salix alba;VI;Средний;высокий;218A0182;73.848;232;189;4;3
118;OL-3;Tilia cordata;VI;Средний;высокий;218A0097;47.746;150;138;3.76;2
119;MS-4;Betula pendula;VI;Средний;высокий;218A0089;34.377;108;90;4;2
120;MS-4;Betula pendula;VI;Средний;высокий;218A0152;35.014;110;94;3.8;2
121;MS-4;Betula pendula;VI;Средний;высокий;218A0243;32.786;103;86;3.65;3
122;MS-4;Betula pendula;VI;Средний;высокий;218A0244;48.065;151;111;3.66;3
123;MS-4;Betula pendula;VI;Средний;высокий;218A0284;36.287;114;95;3.42;3
124;MS-4;Picea abies;V;Средний;высокий;218A0261;40.425;127;103;3.5;3
125;MS-4;Picea abies;V;Средний;высокий;218A0286;44.563;140;120;3.6;3
126;MS-4;Picea abies;VI;Средний;высокий;218A0199;46.792;147;138;3.5;3
127;MS-4;Picea abies;VI;Средний;высокий;218A0295;43.927;138;116;3.5;3
