objectid,species_ru,species_l,height_m,d_trunk_m,d_canopy_m,class,source,adm_region
3292138,Ель колючая,,10,0.24,,Tree,DPIOOS Moscow,район Проспект Вернадского
3292139,Ель колючая,,10,0.24,,Tree,DPIOOS Moscow,район Проспект Вернадского
3292244,Клен остролистный,,10,0.08,,Tree,DPIOOS Moscow,Ломоносовский район
3292298,Клен ясенелистный,,14,0.18,,Tree,DPIOOS Moscow,район Нагатино-Садовники
3292362,"Боярышник вееролистный (колючий, обыкновенный, сглаженный)",,8,0.14,,Tree,DPIOOS Moscow,район Крюково
3292326,Липа мелколистная,,7,0.16,,Tree,DPIOOS Moscow,район Крюково
3292327,Липа мелколистная,,7,0.16,,Tree,DPIOOS Moscow,район Крюково
3292328,Липа мелколистная,,7,0.16,,Tree,DPIOOS Moscow,район Крюково
3292325,Слива домашняя,,4,0.06,,Tree,DPIOOS Moscow,район Крюково
3292365,Вишня обыкновенная,,5,0.08,,Tree,DPIOOS Moscow,район Крюково
3292420,Клен ясенелистный,,12,0.32,,Tree,DPIOOS Moscow,Южнопортовый район
3292490,Ясень пенсильванский,,12,0.28,,Tree,DPIOOS Moscow,район Кунцево
3292496,Липа мелколистная,,12,0.24,,Tree,DPIOOS Moscow,район Черёмушки
3292498,"Береза повислая (бородавчатая, обыкновенная)",,5,0.04,,Tree,DPIOOS Moscow,район Черёмушки
3292499,Липа мелколистная,,16,0.26,,Tree,DPIOOS Moscow,район Черёмушки
3292500,"Береза повислая (бородавчатая, обыкновенная)",,14,0.28,,Tree,DPIOOS Moscow,район Черёмушки
3292492,Липа мелколистная,,15,0.18,,Tree,DPIOOS Moscow,район Щукино
3292556,"Береза повислая (бородавчатая, обыкновенная)",,7,0.1,,Tree,DPIOOS Moscow,район Кунцево
3292588,Липа европейская (обыкновенная),,3,,,Tree,DPIOOS Moscow,район Южное Тушино
3292641,Клен ясенелистный,,3,0.04,,Tree,DPIOOS Moscow,район Кунцево
3292643,Липа мелколистная,,6,0.26,,Tree,DPIOOS Moscow,Ломоносовский район
3292686,Ель обыкновенная (европейская),,5,0.06,,Tree,DPIOOS Moscow,поселение Внуковское
3292770,Вяз мелколистный,,6,0.04,,Tree,DPIOOS Moscow,район Филёвский Парк
3292771,Липа крупнолистная (широколистная),,12,0.26,,Tree,DPIOOS Moscow,район Филёвский Парк
3292769,Липа мелколистная,,10,0.12,,Tree,DPIOOS Moscow,район Кунцево
3292713,Сосна обыкновенная,,22,0.5,,Tree,DPIOOS Moscow,район Внуково
3292732,Слива,,6,0.06,,Tree,DPIOOS Moscow,район Внуково
3292797,Клен остролистный,,12,0.12,,Tree,DPIOOS Moscow,поселение Внуковское
3292805,Клен ясенелистный,,8,0.26,,Tree,DPIOOS Moscow,район Черёмушки
3292782,Липа европейская (обыкновенная),,14,0.3,,Tree,DPIOOS Moscow,Дмитровский район
3292783,Липа европейская (обыкновенная),,14,0.3,,Tree,DPIOOS Moscow,Дмитровский район
3292872,Клен ясенелистный,,11,0.14,,Tree,DPIOOS Moscow,район Филёвский Парк
3292828,Клен остролистный,,8,0.12,,Tree,DPIOOS Moscow,район Крюково
3292829,"Береза повислая (бородавчатая, обыкновенная)",,17,0.24,,Tree,DPIOOS Moscow,район Крюково
3292833,Ель обыкновенная (европейская),,6,0.08,,Tree,DPIOOS Moscow,район Крюково
3292925,Рябина обыкновенная,,8,0.18,,Tree,DPIOOS Moscow,район Внуково
3292924,"Боярышник вееролистный (колючий, обыкновенный, сглаженный)",,4,0.06,,Tree,DPIOOS Moscow,район Крюково
3292944,Клен остролистный,,14,0.3,,Tree,DPIOOS Moscow,район Черёмушки
3292945,Клен остролистный,,14,0.3,,Tree,DPIOOS Moscow,район Черёмушки
3292999,Береза пушистая,,26,0.56,,Tree,DPIOOS Moscow,поселение Внуковское
3292997,Липа мелколистная,,20,0.24,,Tree,DPIOOS Moscow,поселение Внуковское
3297336,Клен ясенелистный,,14,0.2,,Tree,DPIOOS Moscow,район Нагатино-Садовники
3292947,Клен остролистный,,14,0.3,,Tree,DPIOOS Moscow,район Черёмушки
3292948,Клен остролистный,,14,0.3,,Tree,DPIOOS Moscow,район Черёмушки
3293064,Клен остролистный,,10,0.1,,Tree,DPIOOS Moscow,поселение Внуковское
3293062,Дуб черешчатый,,16,0.24,,Tree,DPIOOS Moscow,поселение Внуковское
3293063,Ива белая,,8,0.16,,Tree,DPIOOS Moscow,поселение Внуковское
3293065,Сосна обыкновенная,,3,0.06,,Tree,DPIOOS Moscow,поселение Внуковское
3293047,"Береза повислая (бородавчатая, обыкновенная)",,17,0.24,,Tree,DPIOOS Moscow,Ломоносовский район
3293084,Тополь бальзамический,,20,0.46,,Tree,DPIOOS Moscow,район Матушкино
3293086,Ясень обыкновенный,,4,0.1,,Tree,DPIOOS Moscow,район Матушкино
3293085,Тополь бальзамический,,16,0.48,,Tree,DPIOOS Moscow,район Матушкино
3293255,Рябина обыкновенная,,9,0.36,,Tree,DPIOOS Moscow,район Матушкино
3293252,Рябина обыкновенная,,10,0.2,,Tree,DPIOOS Moscow,район Матушкино
3293253,Липа мелколистная,,16,0.34,,Tree,DPIOOS Moscow,район Матушкино
3293254,Клен остролистный,,11,0.3,,Tree,DPIOOS Moscow,район Матушкино
3293342,Клен сахарный,,4,0.08,,Tree,DPIOOS Moscow,район Матушкино
3293344,Лиственница европейская,,18,0.2,,Tree,DPIOOS Moscow,район Матушкино
3293345,Лиственница европейская,,18,0.2,,Tree,DPIOOS Moscow,район Матушкино
