 ` id`;`Tree height, m` ;`Stem diameter,m ± SD ;`Stem radial increment±SD`;`BCEF ± SD`;`R/S±SD`;`Species`;'Biomass stored±SD` 
 1 218A0077;20.0±0.5;0.357±0.003;0.00340±0.00001;1.17±0.05;0.30±0.02;Acer platanoides;12.8±0.3 
 2 218A0212;15.0±0.5;0.337±0.003;0.00320±0.00001;1.17±0.05;0.30±0.02;Acer platanoides;8.6±0.3 
 3 218A0255;20.0±0.5;0.344±0.003;0.00320±0.00001;1.17±0.05;0.30±0.02;Acer platanoides;11.6±0.3 
 4 218A0262;13.0±0.5;0.347±0.003;0.00330±0.00001;1.17±0.05;0.30±0.02;Acer platanoides;7.9±0.3 
 5 218A0281;14.0±0.5;0.458±0.003;0.00430±0.00001;1.17±0.05;0.30±0.02;Acer platanoides;14.6±0.5 
 6 218A0104;11.0±0.5;0.217±0.003;0.00270±0.00001;0.80±0.01;0.20±0.01;Betula pendula;3.4±0.2 
 7 218A0210;11.0±0.5;0.210±0.003;0.00260±0.00001;0.80±0.01;0.20±0.01;Betula pendula;3.2±0.2 
 8 218A0285;11.0±0.5;0.239±0.003;0.00300±0.00001;0.80±0.01;0.20±0.01;Betula pendula;4.2±0.2 
 9 218A0079;25.0±0.5;0.322±0.003;0.00200±0.00001;0.800±0.008;0.30±0.04;Larix sibirica;8.5±0.2 
10 218A0138;19.0±0.5;0.407±0.003;0.00260±0.00001;0.800±0.008;0.30±0.04;Larix sibirica;10.6±0.3 
11 218A0277;24.0±0.5;0.261±0.003;0.00160±0.00001;0.800±0.008;0.30±0.04;Larix sibirica;5.3±0.1 
12 218A0111;12.0±0.5;0.280±0.003;0.00530±0.00001;0.700±0.004;0.30±0.08;Tilia cordata;9.5±0.4 
13 218A0121;17.0±0.5;0.379±0.003;0.00710±0.00001;0.700±0.004;0.30±0.08;Tilia cordata;24.4±0.7 
14 218A0153;14.0±0.5;0.353±0.003;0.00670±0.00001;0.700±0.004;0.30±0.08;Tilia cordata;17.7±0.6 
15 218A0186;17.0±0.5;0.404±0.003;0.00760±0.00001;0.700±0.004;0.30±0.08;Tilia cordata;27.8±0.8 
16 218A0270;11.0±0.5;0.252±0.003;0.00470±0.00001;0.700±0.004;0.30±0.08;Tilia cordata;6.9±0.3 
