"","id","Species","Cstored","evapc","cprcp","ca","prcp_rat","Rn","G","H","L","P_max","P_avg","P_min","PAI","WAI","LAI","age_group_index","tree_height","d","growth","VTA_score"
"1","218A0077","Acer platanoides",17.4647357682436,83.5872826313628,183.5,55.7,0.455516526601432,44388.685341731,4438.8685341731,35910.2653594236,4105.10618370075,17940.7115220414,11482.0553741065,4485.17788051035,4.21068790985509,0.467344839235698,3.74334307061939,"VI",20.01885078,35.6507072525846,3.36,2
"2","218A0193","Acer platanoides",34.411417540255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","218A0212","Acer platanoides",11.8512394644065,130.803357276971,183.5,27.6,0.712824835296843,14575.1166655829,1457.51166655829,10862.3428326508,2271.10446552156,7161.53913736324,4583.38504791247,1790.38478434081,3.30273197649161,0.504982476185726,2.79774950030588,"VI",15.16579605,33.7408479354818,3.18,3
"4","218A0255","Acer platanoides",16.8546648503256,92.1017015477107,183.5,55.3,0.501916629687797,24846.1043012192,2484.61043012192,19162.9567868091,3204.06946538876,14836.289834565,9495.22549412162,3709.07245864126,3.46665299026787,0.42316766913405,3.04348532113382,"VI",20.77714059,34.3774677078494,3.24,2
"5","218A0262","Acer platanoides",11.2533383134455,168.315601021605,183.5,28.5,0.91725123172537,-21702.7512273002,-2170.27512273002,-22485.507857298,3017.71603375878,8996.16552726555,5757.54593744996,2249.04138181639,3.97199734837561,0.573425468088117,3.39857188028749,"VI",13.61888485,34.6957775940332,3.27,1
"6","218A0281","Acer platanoides",20.6247512694062,190.086087912875,183.5,35.8,1.03589148726362,14688.0692916247,1468.80692916247,8800.68304914058,4280.97308650467,8839.11304457221,5657.03234852621,2209.77826114305,2.91976869186063,0.427824796027266,2.49194389583336,"VI",14.30134567,45.8366236104659,4.32,4
"7","218A0088","Betula pendula",2.92958859360626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","218A0104","Betula pendula",3.25017396954486,242.160911696561,183.5,7.6,1.31967799289679,-5642.89597372505,-564.289597372505,-6235.05511345164,1157.7819469946,1810.90211366138,1158.97735274329,452.725528415346,3.09048359350171,0.43945810275792,2.65102549074379,"IV",11.22268908,21.6450722604978,2.72,1
"9","218A0210","Betula pendula",2.9790475123436,304.402147793274,183.5,6.4,1.65886729042656,3639.82291246146,363.982291246146,2052.70312917533,1225.56633976563,1698.0047953677,1086.72306903533,424.501198841925,3.3032691360906,0.52,2.8,"IV",10.91937315,21.0084524881302,2.64,1
"10","218A0285","Betula pendula",3.79348121457078,340.331573115737,183.5,8.2,1.85466797338276,290.482640915903,29.0482640915903,-1491.12591171038,1755.59862372311,2203.19273920757,1410.04335309284,550.798184801892,3.24450736844324,0.423520270673524,2.82098709776971,"IV",10.76771519,23.8732414637843,3,1
"11","218A0079","Larix sibirica",8.45497856130371,41.0377476558288,183.5,65.9,0.223638951802882,49484.6489817083,4948.46489817083,42620.1776076493,1701.28890358125,20145.2379475179,12892.9522864114,5036.30948687947,3.49168467940588,0.80345487168211,2.68822980772377,"V",24.72024756,32.1492985045629,2.02,3
"12","218A0138","Larix sibirica",10.4305312086872,137.622208437063,183.5,37.4,0.74998478712296,27643.0323763137,2764.30323763137,21640.785662825,3237.94347585733,9870.96240036718,6317.415936235,2467.7406000918,3.37964283256434,0.455879714528048,2.9237631180363,"VI",18.98757665,40.7436654315252,2.56,2
"13","218A0277","Larix sibirica",5.47053556997895,72.8761086397458,183.5,32.3,0.397145006211149,4425.32387654214,442.532387654214,2502.80868106836,1480.80146389675,7461.60151415231,4775.42496905748,1865.40037853808,3.72122151885433,0.367189712494937,3.35403180635939,"IV",24.26527368,26.1014106670708,1.64,2
"14","218A0111","Tilia cordata",8.39019591190739,174.449397826928,183.5,20,0.950677917312957,2213.95314433695,221.395314433695,-201.211055547262,2194.86901947573,5582.81313939635,3573.00040921367,1395.70328484909,3.45351802485213,0.528823603827671,2.92469442102446,"IV",12.16296843,28.0112699841736,5.28,3
"15","218A0121","Tilia cordata",21.043549558884,171.140868112872,183.5,31.3,0.932647782631455,35129.4898670449,3512.94898670449,28247.9126705835,3369.82390145063,8348.91047116145,5343.30270154333,2087.22761779036,3.77291155992091,0.560209136081428,3.21270242383948,"VI",16.68237565,37.8788764558711,7.14,1
"16","218A0153","Tilia cordata",14.980311912228,165.41211683547,183.5,21.1,0.901428429621088,8400.93308483754,840.093308483754,5368.85995043779,2195.62877056142,6238.93201142449,3992.91648731168,1559.73300285612,3.66470158705088,0.42415888761975,3.24054269943113,"IV",13.64921644,35.3323973664008,6.66,2
"17","218A0186","Tilia cordata",24.4038222849647,175.422559087816,183.5,19.5,0.955981248434962,3978.1425637377,397.81425637377,1733.12721044496,2151.93521117776,0,0,0,3.32036682820652,NA,NA,"VI",16.98569157,40.4253555453414,7.62,3
"18","218A0248","Tilia cordata",21.043549558884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","218A0270","Tilia cordata",5.90517967875269,84.8832256226282,183.5,22.4,0.462578886226857,-6487.39018987517,-648.739018987517,-7027.2265094173,1196.13178523187,6634.69134445605,4246.20246045187,1658.67283611401,3.69460376277215,0.483598770631078,3.21100499214107,"III",10.99520214,25.1464810085195,4.74,3
