"","id","Species","Cstored","evapc","cprcp","ca","prcp_rat","Rn","G","H","L","P_max","P_avg","P_min","PAI","WAI","LAI","age_group_index","tree_height","d","growth","VTA_score"
"1","218A0077","Acer platanoides",17.4647357682436,83.5872826313628,183.5,55.7,0.455516526601432,15426.5959177414,1542.65959177414,11210.0271855237,2673.90914044356,17975.9744900767,11504.6236736491,4493.99362251918,4.21068790985509,0.467344839235698,3.74334307061939,"VI",20.01885078,35.6507072525846,3.36,2
"2","218A0193","Acer platanoides",34.411417540255,NA,NA,NA,NA,13427.3195477445,1342.73195477446,8966.7088032998,3117.87878967029,12638.2997904051,8088.51186585927,3159.57494760128,3.65908928098491,0.483182737218688,3.17590654376622,"VI",21.99040427,47.7464829275686,4.5,1
"3","218A0212","Acer platanoides",11.8512394644065,130.803357276971,183.5,27.6,0.712824835296843,6389.31866329495,638.931866329495,4279.13687345032,1471.24992351514,7250.38985080728,4640.24950451666,1812.59746270182,3.30273197649161,0.504982476185726,2.79774950030588,"VI",15.16579605,33.7408479354818,3.18,3
"4","218A0255","Acer platanoides",16.8546648503256,92.1017015477107,183.5,55.3,0.501916629687797,11940.914908719,1194.0914908719,8808.15761538914,1938.66580245795,15064.6875935456,9641.40005986916,3766.17189838639,3.46665299026787,0.42316766913405,3.04348532113382,"VI",20.77714059,34.3774677078494,3.24,2
"5","218A0262","Acer platanoides",11.2533383134455,168.315601021605,183.5,28.5,0.91725123172537,4598.44012702224,459.844012702224,2180.05823347803,1958.53788084199,7861.26418679883,5031.20907955125,1965.31604669971,3.97199734837561,0.573425468088117,3.39857188028749,"VI",13.61888485,34.6957775940332,3.27,1
"6","218A0281","Acer platanoides",20.6247512694062,190.086087912875,183.5,35.8,1.03589148726362,7112.15506427697,711.215506427697,3468.20268282114,2932.73687502814,11940.4282397861,7641.87407346311,2985.10705994653,2.91976869186063,0.427824796027266,2.49194389583336,"VI",14.30134567,45.8366236104659,4.32,4
"7","218A0088","Betula pendula",2.92958859360626,NA,NA,NA,NA,1875.26111067943,187.526111067943,912.610450761677,775.124548849811,1633.33516669933,1045.33450668757,408.333791674833,3.42860565866048,0.430318872601207,2.99828678605927,"IV",11.07103112,20.6901426019464,2.6,1
"8","218A0104","Betula pendula",3.25017396954486,242.160911696561,183.5,7.6,1.31967799289679,1913.07150117672,191.307150117672,959.201060487339,762.56329057171,2029.33906952233,1298.77700449429,507.334767380583,3.09048359350171,0.43945810275792,2.65102549074379,"IV",11.22268908,21.6450722604978,2.72,1
"9","218A0210","Betula pendula",2.9790475123436,304.402147793274,183.5,6.4,1.65886729042656,1484.2641254075,148.42641254075,522.709611471659,813.128101395095,2046.16620750395,1309.54637280253,511.541551875988,3.3032691360906,0.420196652737958,2.88307248335264,"IV",10.91937315,21.0084524881302,2.64,1
"10","218A0285","Betula pendula",3.79348121457078,340.331573115737,183.5,8.2,1.85466797338276,1734.31114399728,173.431114399728,418.818753909311,1142.06127568824,2468.14694114344,1579.6140423318,617.036735285859,3.24450736844324,0.423520270673524,2.82098709776971,"IV",10.76771519,23.8732414637843,3,1
"11","218A0079","Larix sibirica",8.45497856130371,41.0377476558288,183.5,65.9,0.223638951802882,-1845.99086361749,-184.599086361749,-2937.67410046952,1276.28232321378,17527.5262418089,11217.6167947577,4381.88156045223,3.49168467940588,0.80345487168211,2.68822980772377,"V",24.72024756,32.1492985045629,2.02,3
"12","218A0138","Larix sibirica",10.4305312086872,137.622208437063,183.5,37.4,0.74998478712296,8371.91120852731,837.191120852731,5417.74037821305,2116.97970946153,9824.85424172224,6287.90671470224,2456.21356043056,3.37964283256434,0.455879714528048,2.9237631180363,"VI",18.98757665,40.7436654315252,2.56,2
"13","218A0277","Larix sibirica",5.47053556997895,72.8761086397458,183.5,32.3,0.397145006211149,4822.87177518677,482.287177518677,3420.74065942632,919.843938241769,8805.20067800603,5635.32843392386,2201.30016950151,3.72122151885433,0.367189712494937,3.35403180635939,"IV",24.26527368,26.1014106670708,1.64,2
"14","218A0111","Tilia cordata",8.39019591190739,174.449397826928,183.5,20,0.950677917312957,1089.61488416077,108.961488416077,-460.688351944688,1441.34174768938,6453.93242364138,4130.51675113048,1613.48310591035,3.45351802485213,0.528823603827671,2.92469442102446,"IV",12.16296843,28.0112699841736,5.28,3
"15","218A0121","Tilia cordata",21.043549558884,171.140868112872,183.5,31.3,0.932647782631455,4762.70255590025,476.270255590025,2153.88344543296,2132.54885487727,6708.02217914188,4293.1341946508,1677.00554478547,3.77291155992091,0.560209136081428,3.21270242383948,"VI",16.68237565,37.8788764558711,7.14,1
"16","218A0153","Tilia cordata",14.980311912228,165.41211683547,183.5,21.1,0.901428429621088,3422.88544827146,342.288544827146,1626.29829618164,1454.29860726267,5405.18722667808,3459.31982507397,1351.29680666952,3.66470158705088,0.42415888761975,3.24054269943113,"IV",13.64921644,35.3323973664008,6.66,2
"17","218A0186","Tilia cordata",24.4038222849647,175.422559087816,183.5,19.5,0.955981248434962,4340.69403611177,434.069403611177,2694.78630879809,1211.83832370251,4892.9218210214,3131.46996545369,1223.23045525535,3.32036682820652,0.52,2.8,"VI",16.98569157,40.4253555453414,7.62,3
"18","218A0248","Tilia cordata",21.043549558884,NA,NA,NA,NA,7445.14171578911,744.514171578911,5731.21257031463,969.414973895569,7216.20095166406,4618.368609065,1804.05023791602,3.95551475794096,0.626651456972163,3.32886330096879,"VI",16.68237565,37.8788764558711,7.14,2
"19","218A0270","Tilia cordata",5.90517967875269,84.8832256226282,183.5,22.4,0.462578886226857,2973.2263269419,297.32263269419,1916.61885402138,759.284840226339,6477.74129953205,4145.75443170051,1619.43532488301,3.69460376277215,0.483598770631078,3.21100499214107,"III",10.99520214,25.1464810085195,4.74,3
